Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,получение средств,1291.13,безналичный,Минск,МаксБанк-RAKK-080,08-03-2010,13:09:53,успешно,нет,0.0
физ. лицо,получение средств,4989.23,безналичный,Минск,МаксБанк-EOSE-253,12-01-2004,08:27:30,успешно,нет,0.0
юр. лицо,получение средств,1907.64,наличный,Минск,БелАгропромбанк-KBDF-854,15-12-2017,06:43:43,успешно,нет,0.0
физ. лицо,получение средств,93.41,безналичный,Минск,Белинвестбанк-QUIY-296,05-07-2012,08:06:04,успешно,нет,0.0
физ. лицо,списание средств,4506.17,безналичный,Минск,БелАгропромбанк-YVRT-472,11-10-2010,12:10:32,недостаточно средств,да,321.36
юр. лицо,получение средств,2603.17,безналичный,Минск,БелАгропромбанк-KHTA-159,14-08-2022,18:20:58,успешно,нет,0.0
юр. лицо,списание средств,3606.4,наличный,Минск,Приорбанк-UQFJ-139,22-09-2005,16:30:11,успешно,нет,0.0
физ. лицо,получение средств,3128.73,наличный,Минск,Белинвестбанк-TFMU-846,26-04-2007,19:06:11,успешно,нет,0.0
юр. лицо,получение средств,1045.86,безналичный,Минск,Беларусбанк-MOOR-312,27-06-2010,06:25:33,успешно,нет,0.0
физ. лицо,списание средств,110.89,наличный,Минск,Белинвестбанк-VLIS-270,25-12-2015,03:54:57,успешно,да,5.03
физ. лицо,списание средств,48.1,безналичный,Минск,Приорбанк-XXNF-658,28-10-2004,02:45:42,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2677.46,наличный,Минск,БелАгропромбанк-DYBG-084,30-08-2003,09:44:03,успешно,нет,0.0
физ. лицо,получение средств,4067.71,наличный,Минск,Беларусбанк-BUEL-170,06-08-2020,11:44:30,успешно,нет,0.0
юр. лицо,списание средств,3429.2,наличный,Минск,Беларусбанк-QJWY-641,15-12-2013,11:15:19,успешно,да,156.23
юр. лицо,списание средств,2298.45,наличный,Минск,Беларусбанк-TNEH-276,27-02-2018,00:44:23,успешно,да,121.65
физ. лицо,получение средств,1575.93,безналичный,Минск,МаксБанк-LKAB-333,11-08-2008,09:02:15,успешно,нет,0.0
физ. лицо,списание средств,3390.54,наличный,Минск,МаксБанк-GTXC-532,01-12-2011,19:22:27,успешно,да,87.74
физ. лицо,получение средств,820.93,безналичный,Минск,Белинвестбанк-ZHCJ-150,14-08-2018,00:55:00,успешно,нет,0.0
юр. лицо,получение средств,1269.24,безналичный,Минск,МаксБанк-HARB-644,05-12-2006,07:57:57,успешно,нет,0.0
юр. лицо,получение средств,3625.8,безналичный,Минск,МаксБанк-BPEH-692,25-09-2006,05:50:46,успешно,нет,0.0
юр. лицо,списание средств,2342.17,безналичный,Минск,Приорбанк-NOIZ-255,26-05-2020,04:53:58,недостаточно средств,да,135.89
физ. лицо,получение средств,4830.09,безналичный,Минск,Белинвестбанк-SEJN-786,29-12-2009,04:22:46,успешно,нет,0.0
юр. лицо,списание средств,1507.03,наличный,Минск,Беларусбанк-BZXB-083,29-07-2011,07:33:42,неправильный ввод пин-кода,да,140.4
юр. лицо,получение средств,2771.99,наличный,Минск,МаксБанк-JKLM-298,05-10-2023,07:49:11,успешно,нет,0.0
юр. лицо,получение средств,4998.94,безналичный,Минск,Беларусбанк-TFSM-759,16-01-2004,11:10:24,успешно,нет,0.0
юр. лицо,получение средств,1626.57,безналичный,Минск,МаксБанк-MVDY-006,28-08-2009,00:19:54,успешно,нет,0.0
юр. лицо,списание средств,3752.3,наличный,Минск,Белинвестбанк-KKXU-677,03-05-2013,14:03:31,неправильный ввод пин-кода,да,233.46
юр. лицо,списание средств,3486.46,наличный,Минск,БелАгропромбанк-LCLH-559,18-09-2006,05:03:14,успешно,нет,0.0
